                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.79658,                0.66766,                 1.0416,                0.89595,                0.91461,                0.94527,                0.77497,                0.72143,                0.54105,                0.99551,             0.00096215,             0.00096215,             0.00096215
                     36,                0.78889,                0.66031,                 1.0387,                0.89863,                0.88825,                0.94779,                0.78027,                0.71046,                0.53982,                0.98618,               0.000948,               0.000948,               0.000948
                     37,                0.79493,                  0.656,                 1.0345,                 0.9028,                0.89635,                0.94842,                0.77845,                0.71701,                0.54772,                0.99523,             0.00093385,             0.00093385,             0.00093385
                     38,                0.78267,                0.64516,                 1.0324,                0.89114,                0.90046,                 0.9422,                0.76639,                0.72648,                 0.5545,                0.99234,              0.0009197,              0.0009197,              0.0009197
                     39,                0.78951,                0.65157,                 1.0341,                0.87434,                0.90843,                0.93969,                0.76967,                0.71959,                0.55474,                0.99073,             0.00090556,             0.00090556,             0.00090556
                     40,                0.77458,                0.63875,                 1.0289,                0.88318,                0.91015,                0.94577,                0.77449,                0.72533,                0.54363,                0.99023,             0.00089141,             0.00089141,             0.00089141
                     41,                 0.7715,                0.63302,                 1.0259,                0.88453,                0.91841,                 0.9442,                0.78028,                0.70814,                0.53016,                0.98777,             0.00087726,             0.00087726,             0.00087726
                     42,                0.77009,                 0.6266,                 1.0254,                 0.8911,                0.90021,                0.94813,                0.78177,                0.71012,                 0.5299,                0.99077,             0.00086312,             0.00086312,             0.00086312
                     43,                0.76593,                0.62791,                 1.0232,                0.89767,                0.90788,                0.94496,                0.78097,                0.70712,                0.52318,                0.97441,             0.00084897,             0.00084897,             0.00084897
                     44,                0.75705,                0.61948,                   1.02,                0.90029,                0.89267,                0.94742,                0.78605,                 0.7095,                 0.5297,                0.99199,             0.00083482,             0.00083482,             0.00083482
                     45,                0.76393,                0.62158,                  1.022,                0.89017,                0.90984,                 0.9468,                0.78264,                0.70815,                0.52442,                0.98549,             0.00082067,             0.00082067,             0.00082067
                     46,                0.75246,                0.60874,                 1.0156,                0.89007,                0.90064,                0.94208,                0.78428,                0.69059,                0.52632,                0.97606,             0.00080653,             0.00080653,             0.00080653
                     47,                0.75659,                0.61328,                 1.0214,                0.88904,                0.91758,                0.94497,                0.78532,                0.69549,                0.52337,                0.97987,             0.00079238,             0.00079238,             0.00079238
                     48,                0.75879,                0.60475,                 1.0186,                 0.8919,                0.90945,                0.94426,                0.78625,                0.68928,                0.51296,                0.97798,             0.00077823,             0.00077823,             0.00077823
                     49,                0.75286,                0.60084,                 1.0165,                0.89024,                0.91805,                0.94976,                0.78975,                0.69144,                0.51044,                0.97406,             0.00076409,             0.00076409,             0.00076409
                     50,                0.75706,                0.61648,                 1.0192,                0.89548,                0.89707,                0.94651,                0.78696,                0.68812,                0.53437,                0.97552,             0.00074994,             0.00074994,             0.00074994
                     51,                0.72908,                0.59077,                 1.0074,                0.87691,                0.92097,                0.94516,                0.78522,                0.68536,                0.50414,                0.97762,             0.00073579,             0.00073579,             0.00073579
                     52,                0.74435,                0.58746,                 1.0078,                0.89719,                0.90745,                0.94957,                0.79294,                0.68651,                0.50526,                0.97345,             0.00072164,             0.00072164,             0.00072164
                     53,                0.73272,                0.58463,                 1.0083,                0.89653,                 0.9053,                0.94858,                0.79006,                0.68972,                0.50271,                 0.9781,              0.0007075,              0.0007075,              0.0007075
                     54,                0.73215,                0.57017,                 1.0071,                 0.8972,                0.92095,                 0.9527,                0.79513,                0.68663,                0.49824,                 0.9776,             0.00069335,             0.00069335,             0.00069335
                     55,                0.74152,                 0.5822,                 1.0122,                0.90865,                0.90696,                0.95295,                0.79791,                0.67655,                0.48414,                 0.9637,              0.0006792,              0.0006792,              0.0006792
                     56,                0.71681,                0.57005,                0.99665,                0.90771,                0.90955,                0.95271,                0.79652,                0.67934,                0.48847,                0.97414,             0.00066506,             0.00066506,             0.00066506
                     57,                0.72542,                0.56107,                 1.0061,                0.88016,                0.92337,                0.95055,                0.79507,                0.68558,                0.49719,                0.97042,             0.00065091,             0.00065091,             0.00065091
                     58,                 0.7236,                0.56613,                 1.0008,                0.89852,                0.89895,                0.94212,                0.78736,                0.68698,                0.50053,                 0.9771,             0.00063676,             0.00063676,             0.00063676
                     59,                0.72003,                0.56361,                0.99982,                 0.9008,                0.91464,                0.94981,                0.79333,                0.67786,                0.48271,                0.97105,             0.00062262,             0.00062262,             0.00062262
                     60,                0.70865,                0.54394,                0.98967,                0.89347,                0.91527,                0.94845,                0.79538,                 0.6846,                0.49916,                0.97698,             0.00060847,             0.00060847,             0.00060847
                     61,                 0.7066,                0.55417,                0.99453,                0.90732,                0.91571,                0.95152,                0.79449,                0.68078,                0.48878,                0.97554,             0.00059432,             0.00059432,             0.00059432
                     62,                  0.705,                0.55331,                0.98863,                0.91232,                0.90309,                0.94939,                0.79712,                0.68108,                0.48003,                0.97329,             0.00058017,             0.00058017,             0.00058017
                     63,                0.70507,                0.55456,                0.99673,                0.89924,                0.91766,                0.95107,                0.79841,                0.67475,                0.48134,                0.96902,             0.00056603,             0.00056603,             0.00056603
                     64,                0.68926,                0.53116,                0.98847,                0.89397,                0.91762,                0.95189,                0.80134,                0.67535,                0.48553,                0.96964,             0.00055188,             0.00055188,             0.00055188
                     65,                0.69004,                0.53073,                0.99139,                0.91118,                0.91533,                0.95675,                0.80457,                0.67358,                0.46814,                 0.9692,             0.00053773,             0.00053773,             0.00053773
                     66,                0.69447,                0.53548,                0.99101,                 0.8916,                0.92729,                0.94996,                0.80074,                0.67356,                0.47545,                0.96945,             0.00052359,             0.00052359,             0.00052359
                     67,                0.69301,                0.52919,                0.98866,                0.89277,                0.91451,                0.94655,                0.79582,                0.67515,                0.48813,                0.97028,             0.00050944,             0.00050944,             0.00050944
                     68,                 0.6995,                0.53127,                0.98947,                0.91012,                0.90972,                0.95288,                0.80117,                0.67028,                 0.4741,                0.96547,             0.00049529,             0.00049529,             0.00049529
                     69,                0.68642,                0.51857,                0.98126,                  0.894,                0.92367,                0.95318,                0.80732,                0.66258,                0.46607,                0.95982,             0.00048114,             0.00048114,             0.00048114
                     70,                0.68399,                0.51769,                0.98223,                0.90926,                0.90725,                0.95235,                0.80346,                 0.6695,                0.47265,                0.96605,               0.000467,               0.000467,               0.000467
                     71,                0.68295,                0.52167,                0.98288,                0.90338,                0.90851,                0.95053,                0.80213,                0.66989,                0.47938,                0.96698,             0.00045285,             0.00045285,             0.00045285
                     72,                0.68115,                0.51363,                0.98242,                0.89779,                0.91681,                0.95127,                0.80301,                0.66168,                0.47173,                0.95764,              0.0004387,              0.0004387,              0.0004387
                     73,                0.68066,                0.50496,                0.98564,                0.91874,                0.90261,                0.95177,                0.80568,                0.65577,                 0.4646,                0.95962,             0.00042456,             0.00042456,             0.00042456
                     74,                0.66869,                0.49893,                0.97318,                0.90649,                0.91154,                 0.9531,                0.80436,                0.66827,                0.46527,                0.96602,             0.00041041,             0.00041041,             0.00041041
                     75,                0.67063,                0.50364,                 0.9781,                0.89049,                0.92085,                 0.9542,                0.80854,                0.65602,                0.46709,                0.96024,             0.00039626,             0.00039626,             0.00039626
                     76,                0.67802,                0.50071,                0.98071,                0.91432,                0.90657,                0.95089,                0.80469,                0.66226,                0.46942,                0.96563,             0.00038211,             0.00038211,             0.00038211
                     77,                0.66521,                0.49864,                0.97178,                 0.8986,                0.92254,                0.95348,                0.80749,                0.65604,                0.46446,                0.96066,             0.00036797,             0.00036797,             0.00036797
                     78,                0.66551,                0.49566,                0.98003,                0.91517,                0.91522,                 0.9541,                0.80843,                0.65745,                0.45419,                0.95909,             0.00035382,             0.00035382,             0.00035382
                     79,                0.65795,                0.48729,                0.97198,                 0.8949,                0.92444,                0.95064,                0.80742,                0.65604,                0.46713,                0.96229,             0.00033967,             0.00033967,             0.00033967
                     80,                0.65279,                0.48862,                0.97427,                0.90632,                0.92027,                0.95034,                0.80713,                0.65487,                0.46862,                0.96226,             0.00032553,             0.00032553,             0.00032553
                     81,                0.65948,                0.48253,                0.97367,                0.90761,                0.90856,                0.94687,                0.80293,                0.66358,                 0.4799,                0.96765,             0.00031138,             0.00031138,             0.00031138
                     82,                0.65275,                0.47793,                 0.9674,                0.89772,                0.92271,                0.95102,                0.81077,                 0.6515,                0.46135,                0.95919,             0.00029723,             0.00029723,             0.00029723
                     83,                0.65618,                0.47988,                0.97246,                0.91212,                0.92292,                0.95365,                0.81196,                0.65354,                0.45285,                0.95869,             0.00028308,             0.00028308,             0.00028308
                     84,                0.64509,                0.47438,                0.96848,                0.91379,                0.91998,                0.95415,                0.81224,                0.65477,                0.45644,                0.96041,             0.00026894,             0.00026894,             0.00026894
                     85,                0.64497,                0.46751,                0.96516,                0.90615,                0.92614,                0.95517,                0.80898,                0.65873,                0.45604,                0.96143,             0.00025479,             0.00025479,             0.00025479
                     86,                0.65666,                0.47159,                0.96824,                0.90328,                0.92571,                 0.9561,                0.81285,                0.65602,                0.45719,                0.96245,             0.00024064,             0.00024064,             0.00024064
                     87,                0.63695,                0.46809,                0.96114,                0.91785,                0.91127,                0.95422,                0.81415,                 0.6576,                0.45052,                0.96602,              0.0002265,              0.0002265,              0.0002265
                     88,                0.64036,                0.46584,                0.96097,                 0.9071,                0.91602,                0.95142,                0.81156,                0.65193,                0.45927,                0.96229,             0.00021235,             0.00021235,             0.00021235
                     89,                0.62316,                0.45977,                 0.9584,                0.90302,                0.92571,                 0.9557,                0.81214,                0.65647,                0.46132,                0.96646,              0.0001982,              0.0001982,              0.0001982
                     90,                0.63662,                0.46325,                0.96626,                0.91367,                0.91183,                0.95393,                0.81358,                0.65393,                0.45722,                0.96541,             0.00018406,             0.00018406,             0.00018406
